+-------+-----+------+-----+-----+-----+--------+------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+---------------+-----------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                URI                 |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-----+-----+-----+--------+------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+---------------+-----------+
| 6     | 0   | 2    | 0   | 4   | 0   | GET    | /api/user/[A-Za-z0-9]+/statistics  | 2.748  | 20.000 | 85.480  | 14.247 | 20.000 | 20.000 | 20.000 | 8.125  | 0.000     | 139.000    | 272.000       | 45.333    |
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/initialize                    | 10.172 | 10.172 | 10.172  | 10.172 | 10.172 | 10.172 | 10.172 | 0.000  | 27.000    | 27.000     | 27.000        | 27.000    |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /api/livestream/7496/statistics    | 6.812  | 6.876  | 13.688  | 6.844  | 6.876  | 6.876  | 6.876  | 0.032  | 100.000   | 102.000    | 202.000       | 101.000   |
| 28    | 0   | 25   | 0   | 3   | 0   | POST   | /api/livestream/[0-9]+/moderate    | 0.288  | 6.196  | 94.680  | 3.381  | 5.920  | 5.968  | 6.196  | 1.510  | 0.000     | 23.000     | 575.000       | 20.536    |
| 67    | 0   | 67   | 0   | 0   | 0   | GET    | /api/livestream/search             | 0.036  | 6.612  | 70.032  | 1.045  | 1.064  | 5.564  | 6.612  | 1.409  | 49497.000 | 132270.000 | 4672012.000   | 69731.522 |
| 247   | 0   | 246  | 0   | 1   | 0   | GET    | /api/livestream/[0-9]+/livecomment | 0.064  | 1.844  | 123.432 | 0.500  | 1.044  | 1.192  | 1.600  | 0.385  | 0.000     | 43658.000  | 2968191.000   | 12016.968 |
| 97    | 0   | 93   | 0   | 4   | 0   | POST   | /api/livestream/reservation        | 0.112  | 1.096  | 45.328  | 0.467  | 0.892  | 0.944  | 1.096  | 0.345  | 0.000     | 1472.000   | 104648.000    | 1078.845  |
| 281   | 0   | 277  | 0   | 4   | 0   | GET    | /api/livestream/[0-9]+/reaction    | 0.004  | 1.596  | 106.880 | 0.380  | 0.932  | 1.036  | 1.304  | 0.352  | 0.000     | 36959.000  | 2354208.000   | 8377.964  |
| 220   | 0   | 218  | 0   | 1   | 1   | POST   | /api/register                      | 0.036  | 0.692  | 46.580  | 0.212  | 0.368  | 0.476  | 0.604  | 0.118  | 67.000    | 504.000    | 102145.000    | 464.295   |
