+-------+-----+------+-----+-----+-----+--------+--------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+---------------+-----------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                 URI                  |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-----+-----+-----+--------+--------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+---------------+-----------+
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/initialize                      | 11.360 | 11.360 | 11.360  | 11.360 | 11.360 | 11.360 | 11.360 | 0.000  | 27.000    | 27.000     | 27.000        | 27.000    |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /api/livestream/7496/statistics      | 6.844  | 7.008  | 13.852  | 6.926  | 7.008  | 7.008  | 7.008  | 0.082  | 100.000   | 102.000    | 202.000       | 101.000   |
| 28    | 0   | 26   | 0   | 2   | 0   | POST   | /api/livestream/[0-9]+/moderate      | 0.120  | 14.304 | 133.595 | 4.771  | 8.260  | 11.744 | 14.304 | 2.906  | 0.000     | 23.000     | 598.000       | 21.357    |
| 67    | 0   | 66   | 0   | 1   | 0   | GET    | /api/livestream/search               | 0.028  | 2.568  | 48.997  | 0.731  | 2.296  | 2.444  | 2.568  | 0.675  | 0.000     | 132270.000 | 4812975.000   | 71835.448 |
| 107   | 0   | 103  | 0   | 4   | 0   | POST   | /api/livestream/reservation          | 0.188  | 0.960  | 44.813  | 0.419  | 0.768  | 0.824  | 0.912  | 0.287  | 0.000     | 1462.000   | 116538.000    | 1089.140  |
| 446   | 0   | 442  | 0   | 4   | 0   | GET    | /api/livestream/[0-9]+/livecomment   | 0.004  | 1.188  | 143.127 | 0.321  | 0.680  | 0.772  | 1.012  | 0.246  | 0.000     | 51321.000  | 6135913.000   | 13757.652 |
| 477   | 0   | 475  | 0   | 2   | 0   | GET    | /api/livestream/[0-9]+/reaction      | 0.004  | 1.136  | 133.893 | 0.281  | 0.648  | 0.788  | 0.944  | 0.248  | 0.000     | 45493.000  | 5433812.000   | 11391.639 |
| 11    | 0   | 11   | 0   | 0   | 0   | GET    | /api/user/[A-Za-z0-9]+/statistics    | 0.016  | 0.432  | 2.872   | 0.261  | 0.364  | 0.432  | 0.432  | 0.134  | 133.000   | 161.000    | 1542.000      | 140.182   |
| 247   | 0   | 244  | 0   | 2   | 1   | POST   | /api/register                        | 0.004  | 0.668  | 51.020  | 0.207  | 0.352  | 0.400  | 0.520  | 0.100  | 0.000     | 516.000    | 114396.000    | 463.142   |
| 3     | 0   | 2    | 0   | 1   | 0   | GET    | /api/user/miki270/livestream         | 0.144  | 0.220  | 0.520   | 0.173  | 0.220  | 0.220  | 0.220  | 0.033  | 0.000     | 2538.000   | 5076.000      | 1692.000  |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/user/satomigoto0/livestream     | 0.172  | 0.172  | 0.172   | 0.172  | 0.172  | 0.172  | 0.172  | 0.000  | 2579.000  | 2579.000   | 2579.000      | 2579.000  |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/user/nishikawa0/livestream      | 0.164  | 0.164  | 0.164   | 0.164  | 0.164  | 0.164  | 0.164  | 0.000  | 1264.000  | 1264.000   | 1264.000      | 1264.000  |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/user/atanaka0/livestream        | 0.141  | 0.141  | 0.141   | 0.141  | 0.141  | 0.141  | 0.141  | 0.000  | 1246.000  | 1246.000   | 1246.000      | 1246.000  |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/user/rikanakagawa0/livestream   | 0.124  | 0.124  | 0.124   | 0.124  | 0.124  | 0.124  | 0.124  | 0.000  | 1254.000  | 1254.000   | 1254.000      | 1254.000  |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/user/yamamotoyoichi0/livestream | 0.108  | 0.108  | 0.108   | 0.108  | 0.108  | 0.108  | 0.108  | 0.000  | 1261.000  | 1261.000   | 1261.000      | 1261.000  |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/user/yoichiendo1/livestream     | 0.108  | 0.108  | 0.108   | 0.108  | 0.108  | 0.108  | 0.108  | 0.000  | 1247.000  | 1247.000   | 1247.000      | 1247.000  |
| 82    | 0   | 82   | 0   | 0   | 0   | GET    | /api/livestream                      | 0.012  | 0.404  | 8.068   | 0.098  | 0.180  | 0.284  | 0.404  | 0.074  | 3.000     | 22475.000  | 127203.000    | 1551.256  |
| 487   | 0   | 480  | 0   | 7   | 0   | POST   | /api/livestream/[0-9]+/livecomment   | 0.012  | 0.628  | 45.381  | 0.093  | 0.164  | 0.244  | 0.376  | 0.071  | 0.000     | 2955.000   | 952521.000    | 1955.895  |
| 412   | 0   | 412  | 0   | 0   | 0   | POST   | /api/livestream/[0-9]+/reaction      | 0.004  | 0.452  | 36.516  | 0.089  | 0.168  | 0.216  | 0.300  | 0.062  | 1552.000  | 2205.000   | 757431.000    | 1838.425  |
| 244   | 0   | 241  | 0   | 0   | 3   | POST   | /api/icon                            | 0.008  | 0.528  | 20.921  | 0.086  | 0.164  | 0.200  | 0.416  | 0.078  | 14.000    | 154.000    | 4212.000      | 17.262    |
| 53    | 0   | 53   | 0   | 0   | 0   | GET    | /api/livestream/[0-9]+/report        | 0.004  | 0.376  | 3.268   | 0.062  | 0.164  | 0.232  | 0.376  | 0.083  | 3.000     | 14184.000  | 70138.000     | 1323.358  |
