+-------+-----+------+-----+-----+-----+--------+---------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+---------------+-----------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                  URI                  |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |   SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-----+-----+-----+--------+---------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+---------------+-----------+
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/initialize                       | 10.308 | 10.308 | 10.308  | 10.308 | 10.308 | 10.308 | 10.308 | 0.000  | 27.000    | 27.000     | 27.000        | 27.000    |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /api/livestream/7496/statistics       | 6.780  | 6.912  | 13.692  | 6.846  | 6.912  | 6.912  | 6.912  | 0.066  | 100.000   | 102.000    | 202.000       | 101.000   |
| 29    | 0   | 26   | 0   | 3   | 0   | POST   | /api/livestream/[0-9]+/moderate       | 0.284  | 8.740  | 119.856 | 4.133  | 4.768  | 7.880  | 8.740  | 1.390  | 0.000     | 23.000     | 598.000       | 20.621    |
| 85    | 0   | 85   | 0   | 0   | 0   | GET    | /api/livestream/search                | 0.032  | 2.564  | 62.452  | 0.735  | 1.976  | 2.280  | 2.564  | 0.562  | 49498.000 | 126797.000 | 6070834.000   | 71421.576 |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/user/yamazakikyosuke0/livestream | 0.468  | 0.468  | 0.468   | 0.468  | 0.468  | 0.468  | 0.468  | 0.000  | 3826.000  | 3826.000   | 3826.000      | 3826.000  |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/user/atanaka0/livestream         | 0.296  | 0.296  | 0.296   | 0.296  | 0.296  | 0.296  | 0.296  | 0.000  | 5018.000  | 5018.000   | 5018.000      | 5018.000  |
| 509   | 0   | 508  | 0   | 1   | 0   | GET    | /api/livestream/[0-9]+/livecomment    | 0.004  | 1.172  | 148.740 | 0.292  | 0.616  | 0.736  | 0.840  | 0.223  | 0.000     | 47188.000  | 6248552.000   | 12276.134 |
| 542   | 0   | 538  | 0   | 4   | 0   | GET    | /api/livestream/[0-9]+/reaction       | 0.004  | 1.140  | 139.900 | 0.258  | 0.560  | 0.696  | 0.884  | 0.223  | 0.000     | 41273.000  | 5653408.000   | 10430.642 |
| 1     | 0   | 1    | 0   | 0   | 0   | GET    | /api/user/kazuya580/livestream        | 0.248  | 0.248  | 0.248   | 0.248  | 0.248  | 0.248  | 0.248  | 0.000  | 2562.000  | 2562.000   | 2562.000      | 2562.000  |
