+-------+-----+------+-----+-----+-----+--------+------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+--------------+-----------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                URI                 |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY) |
+-------+-----+------+-----+-----+-----+--------+------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+--------------+-----------+
| 1     | 0   | 1    | 0   | 0   | 0   | POST   | /api/initialize                    | 14.724 | 14.724 | 14.724  | 14.724 | 14.724 | 14.724 | 14.724 | 0.000  | 27.000    | 27.000     | 27.000       | 27.000    |
| 6     | 0   | 2    | 0   | 4   | 0   | GET    | /api/user/[A-Za-z0-9]+/statistics  | 4.228  | 20.000 | 73.372  | 12.229 | 20.000 | 20.000 | 20.000 | 7.773  | 0.000     | 140.000    | 273.000      | 45.500    |
| 2     | 0   | 2    | 0   | 0   | 0   | GET    | /api/livestream/7496/statistics    | 6.900  | 6.952  | 13.852  | 6.926  | 6.952  | 6.952  | 6.952  | 0.026  | 100.000   | 102.000    | 202.000      | 101.000   |
| 22    | 0   | 21   | 0   | 1   | 0   | POST   | /api/livestream/[0-9]+/moderate    | 0.292  | 7.816  | 78.712  | 3.578  | 5.844  | 7.624  | 7.816  | 1.732  | 0.000     | 23.000     | 483.000      | 21.955    |
| 41    | 0   | 39   | 0   | 2   | 0   | GET    | /api/livestream/search             | 0.176  | 7.008  | 116.800 | 2.849  | 4.228  | 6.760  | 7.008  | 1.863  | 0.000     | 132270.000 | 3029662.000  | 73894.195 |
| 186   | 0   | 185  | 0   | 1   | 0   | GET    | /api/livestream/[0-9]+/livecomment | 0.004  | 2.292  | 115.884 | 0.623  | 1.304  | 1.668  | 2.196  | 0.505  | 0.000     | 38612.000  | 2178291.000  | 11711.242 |
| 218   | 0   | 217  | 0   | 1   | 0   | GET    | /api/livestream/[0-9]+/reaction    | 0.008  | 2.140  | 105.564 | 0.484  | 1.164  | 1.572  | 1.924  | 0.505  | 0.000     | 35380.000  | 1813156.000  | 8317.229  |
| 93    | 0   | 90   | 0   | 3   | 0   | POST   | /api/livestream/reservation        | 0.212  | 1.404  | 44.884  | 0.483  | 0.928  | 1.052  | 1.404  | 0.361  | 62.000    | 1480.000   | 101591.000   | 1092.376  |
| 183   | 0   | 180  | 0   | 2   | 1   | POST   | /api/register                      | 0.004  | 1.456  | 46.088  | 0.252  | 0.472  | 0.604  | 0.788  | 0.182  | 0.000     | 504.000    | 84649.000    | 462.563   |
